OBJECTID,ADDRESS,CITY,COUNTY,OWNER,PHONE,SWING,AGENCY,CONTACT,LAST_UPDT,XY_SOURCE,XY_ISSUES,ATT_SOURCE,ATT_ISSUES,COMMENTS,FACILITYID,FACILITY,ZIP_CODE,OPERATOR,DEEMED,LIC_TYPE,ACUTE,ACUTE_REHAB,CRITICAL_ACCESS,CHEM_DEPEND,FSED,PSYCH_GENERAL,PSYCH_GERIATRIC,PSYCH_ADULT,PSYCH_ADOLESCENT,PSYCH_CHILD,TB,REHAB,LICENSE_EXP,DATECREATED,DATEMODIFIED
"1",901 Westlake Dr,Columbia,Adair,T J Health Columbia Inc. ,270-384-4753,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100001",T J Health Columbia,"42728",Neil Thornbury,Y,ACUTE,"49","0","0","0",N,"25","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"2",456 Burnley Rd,Scottsville,Allen,B G Warren County Comm  Hosp Corp,270-622-2800,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600076",The Medical Center At Scottsville,"42164",Eric Hagan,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"3",3604 W Cumberland Ave,Middlesboro,Bell,Appalachian Regional Healthcare Inc,606-242-1100,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100019",Middlesboro ARH Hospital,"40965",Michael Slusher,Y,ACUTE,"96","0","0","0",N,"0","0","0","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"4",850 Riverview Ave,Pineville,Bell,"Pineville Medical Center, LLC",606-337-3051,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,100020A,"Pineville Community Health Center, Inc","40977",Scott Madon,N,ACUTE,"108","0","0","0",N,"0","12","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"5",5940 Merchants St,Florence,Boone,Vibra Rehabilitation Hospital of Florence LLC,859-426-2400,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100928",Gateway Rehabilitation Hospital,"41042",Frank Schneider,Y,REHAB,"0","0","0","0",N,"0","0","0","0","0","0","40",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"6",4900 Houston Rd,Florence,Boone,"Saint Elizabeth Medical Center, Inc.",859-2121-5220,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100273",St. Elizabeth Florence,"41042",Bruno Giacomuzzi,Y,ACUTE,"231","0","0","0",N,"0","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"7",8 Linville Dr b,Paris,Bourbon,"Bourbon Community, Llc",859-987-3600,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100023",Bourbon Community Hospital,"40361",Matt Smith,Y,ACUTE,"25","0","0","0",N,"25","0","8","0","0","0","0",2020/05/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"8",2201 Lexington Av,Ashland,Boyd,Ashland Hospital Corporation,606-408-4401,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100958",Kings Daughters Medical Center,"41101",Kristie Whitlatch,Y,ACUTE,"401","0","0","0",N,"27","0","0","0","0","0","27",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"9",217 S 3rd St,Danville,Boyle,Ephraim Mcdowell Regional Med Ctr Inc,859-239-2409,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100034",Ephraim Mcdowell Reg Medical Center,"40422",Daniel McKay,Y,ACUTE,"159","0","0","0",N,"38","0","0","0","0","0","0",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"10",540 Jett Drive,Jackson,Breathitt,Jackson Hospital Corporation,606-666-6000,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100620",Kentucky River Medical Center,"41339",John Ballard,Y,ACUTE,"55","0","0","0",N,"0","0","0","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
