POPEST2016,x,y
1124,-85.6130398313,38.0941598235
447,-85.5803665638,38.2734939852
18071,-85.630698258,38.2408697159
181,-85.653212584,38.2659225628
741,-85.5292262782,38.2401732857
231,-85.5882481577,38.2979432673
308,-85.5905991413,38.2936501936
974,-85.5860384035,38.2864402474
992,-85.5783875782,38.2826171442
231,-84.4721515544,39.0911402525
33440,-84.5588369078,38.2098032179
985,-85.5821109368,38.4020881173
431,-85.6045741573,38.3725974863
876,-86.8519467899,36.6675494329
2013,-85.1346821946,36.6909062138
9340,-84.3879991363,38.9595152904
308,-89.0128477112,36.7903415575
21038,-82.63794268,38.4784218752
1348,-86.7102785611,36.8642157785
1175,-84.0057672092,38.7717450721
3170,-83.8888180412,36.8664836014
13227,-85.4669072689,37.8092351194
691,-89.009792616,36.8706179731
659,-89.0467403405,37.0517263064
1214,-83.7068639356,37.5717604504
3648,-86.8758307477,37.4019988751
597,-85.3177391833,38.5925703758
860,-82.6901665961,38.492588376
5845,-84.4788355754,39.1064564141
459,-82.9484993705,36.9648219604
4531,-88.3503205294,36.857285002
15147,-84.2963268084,37.5687012246
261,-84.3843874031,38.5206357057
47,-82.84322171,38.0275962781
51,-88.9639578085,36.9436724894
1064,-85.3166267318,37.9103475456
262,-85.9030281654,37.3786736149
76,-83.6749187187,37.4762063325
295,-85.148852954,37.4942427718
2873,-86.1694192876,37.9989664236
194,-87.2186130436,37.361440352
1198,-84.4138303321,37.4042567864
804,-84.5602260974,39.0820118051
643,-84.0657676206,38.6825793515
832,-86.267759457,37.1925542627
157,-83.4763002513,37.3487091164
968,-84.7666193596,37.7534184398
1509,-85.37052327,36.7903469233
900,-84.5999449579,36.9889731956
594,-84.3696639185,38.7864643577
2626,-87.8353003838,36.8650565275
757,-87.2583368677,37.5389421839
86,-84.2635516971,38.9186840881
2550,-88.3500417425,37.0333965356
1127,-83.8877021187,37.9942542263
791,-85.2027374448,38.5236835681
11387,-85.3419115993,37.3434045338
425,-83.5474131993,37.7342598891
612,-86.488319838,37.4242254973
1994,-84.0274313827,38.3120270823
3874,-85.1794026492,38.6809032001
49,-88.3747658756,37.3975588038
